Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
51791252,The Vanishing Half,Brit Bennett,"Bennett, Brit",,"=""0525536299""","=""9780525536291""",0,4.12,Riverhead Books,Hardcover,343,2020,2020,2025/02/27,2025/02/27,,,read,,,,1,0
123280215,The Wildest Sun,Asha Lemmie,"Lemmie, Asha",,"=""0593185722""","=""9780593185728""",5,3.77,Dutton,Hardcover,336,2023,2023,2024/08/20,2025/01/29,,,read,,,,1,0
75257471,"Murder at Midnight (Lily Adler Mystery, #4)",Katharine Schellman,"Schellman, Katharine",,"=""163910433X""","=""9781639104338""",0,3.94,Crooked Lane Books,Kindle Edition,320,2023,2023,2025/01/29,2025/01/29,,,read,,,,1,0
60931,Kindred,Octavia E. Butler,"Butler, Octavia E.",,"=""0807083690""","=""9780807083697""",5,4.31,Beacon Press,Paperback,288,2004,1979,2024/12/31,2025/01/29,,,read,,,,1,0
60568249,Wildwood Magic,Willa Reece,"Reece, Willa",,"=""0316591823""","=""9780316591829""",5,4.10,Redhook,Hardcover,384,2022,,2024/09/14,2025/01/29,,,read,,,,1,0
55723642,"Silence in the Library (Lily Adler Mystery, #2)",Katharine Schellman,"Schellman, Katharine",,"=""1643857045""","=""9781643857046""",0,4.00,Crooked Lane Books,Hardcover,352,2021,2021,2025/01/22,2025/01/29,,,read,,,,1,0
9375,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,"Flagg, Fannie",,"=""0375508414""","=""9780375508417""",0,4.28,Random House,Hardcover,416,2002,1987,2024/11/27,2025/01/29,,,read,,,,1,0
629170,Surrender the Pink,Carrie Fisher,"Fisher, Carrie",,"=""0671666401""","=""9780671666408""",0,3.48,Simon & Schuster,Hardcover,288,1990,1990,2024/11/12,2025/01/29,,,read,,,,1,0
59808050,Daisy Darker,Alice Feeney,"Feeney, Alice",,"=""1250843936""","=""9781250843937""",0,3.76,Flatiron Books,Hardcover,352,2022,2022,2024/11/06,2025/01/29,,,read,,,,1,0
42505366,Wilder Girls,Rory Power,"Power, Rory",,"=""0525645586""","=""9780525645580""",0,3.45,Delacorte Press,Hardcover,357,2019,2019,2024/11/01,2025/01/29,,,read,,,,1,0
40538657,The Island of Sea Women,Lisa See,"See, Lisa",,"=""""","=""""",0,4.32,Scribner,Hardcover,374,2019,2019,2024/09/27,2025/01/29,,,read,,,,1,0
58855185,"The Family Remains (The Family Upstairs, #2)",Lisa Jewell,"Jewell, Lisa",,"=""1982178892""","=""9781982178895""",0,3.86,Atria,Hardcover,452,2022,2022,2024/09/11,2025/01/29,,,read,,,,1,0
43822820,"The Family Upstairs (The Family Upstairs, #1)",Lisa Jewell,"Jewell, Lisa",,"=""1501190105""","=""9781501190100""",0,3.95,Atria Books,Hardcover,352,2019,2019,2024/09/09,2025/01/29,,,read,,,,1,0
62334530,None of This Is True,Lisa Jewell,"Jewell, Lisa",,"=""1982179007""","=""9781982179007""",0,4.07,Atria Books,Hardcover,390,2023,2023,2024/09/06,2025/01/29,,,read,,,,1,0
49691870,Fifty Words for Rain,Asha Lemmie,"Lemmie, Asha",,"=""1524746363""","=""9781524746360""",0,3.87,Dutton,Hardcover,449,2020,2020,2024/08/30,2025/01/29,,,read,,,,1,0
